"prof","slogan","politician","econ","name","race","sex","order","choice","sec","corrup","emp","id","age","sex_respondent","state","income","trust_civpol","trust_milpol","trust_congress","trust_minpub","trust_mayor","trust_vereadores","trust_army","legit_1","legit_2","legit_3","legit_4","legit_5","contact_civpol","contact_milpol","contact_guarda","contact_saude","contact_educ","crime_victim","problem_corruption","problem_health","problem_security","problem_inequality","problem_unemployment","problem_other","covid_eval","covid_contact","ideology_self","ideology_mayor","ideology_president","vote","pres_vote_2018","party_mayor","party_self","auth_1","auth_2","auth_3","auth_4","religion","race_respondent","city","cep","urban","education"
"captain","generic","novice","left","Olívia Mendes","black","female",1,4,4,4,2,"R_0ciN08FVSSSIwff",34,1,11,3,3,2,1,4,1,2,4,2,3,4,1,3,2,4,3,1,1,1,1,4,3,5,2,"O Congresso Nacional; O STF",4,5,5,5,6,2,1,1,13,1,2,2,1,4,"4","Cuiaba/MT","78058150",2,5
"captain","generic","novice","left","Bernardo Teixeira","black","male",1,3,4,3,2,"R_0eNWHloIBIzlYxX",21,1,19,3,4,3,1,4,2,2,4,2,2,1,1,2,1,1,1,3,5,1,1,2,3,5,4,"Educação",2,4,NA,7,7,2,6,16,12,NA,NA,1,NA,4,"1","São Gonçalo","24451-045",2,5
"professor","jobs","novice","left","Isabella Nunes","pardo","female",1,5,2,2,3,"R_0I0YXUCOhLV021X",3,2,16,3,2,2,1,2,1,1,1,1,2,3,3,3,1,1,1,4,1,1,1,5,4,2,3,"",3,2,0,5,7,2,11,17,12,1,2,1,1,1,"4","Ponta grossa","84032586",2,3
"office","jobs","politician","left","Hector Amaral","black","male",1,3,4,4,4,"R_0iDtbAyvBzdN7I5",46,1,12,3,2,5,2,5,4,2,5,4,4,3,1,1,2,2,1,2,1,1,1,2,3,4,5,"",4,6,3,4,1,2,9,4,13,1,2,1,2,11,"5","Campo Grande ","79097-200 ",2,3
"police","corruption","politician","right","Hector Amaral","pardo","male",1,4,2,2,2,"R_0lIZHCl8vCZnlVT",8,1,4,1,3,2,1,2,1,1,2,2,2,5,2,2,1,1,1,1,3,2,1,2,3,5,4,"",2,5,NA,3,7,3,6,3,12,2,1,2,2,4,"1","Manaus","69.089-049",2,6
"pastor","jobs","novice","right","Nicolas Duarte","pardo","male",1,2,3,2,4,"R_0TVyXNXrGfHne0x",34,1,11,2,4,4,1,2,1,1,5,2,4,4,4,3,1,2,1,2,2,2,5,2,4,1,3,"",5,1,6,6,7,3,1,3,7,1,2,1,2,11,"4","barra do gaças","78600090",2,4
"captain","jobs","politician","right","Hector Amaral","white","male",1,4,4,3,3,"R_0uJY7R01dg2GUkF",37,1,12,3,5,5,3,3,5,4,5,3,3,4,4,3,2,2,2,2,2,1,3,1,4,5,2,"",3,7,3,4,4,3,1,4,12,1,2,1,2,2,"1","Douradina","79880000",1,3
"police","jobs","novice","left","Olívia Mendes","black","female",1,3,3,3,3,"R_0VBTwkJFySd3JnP",25,2,7,7,3,3,1,1,1,1,3,1,2,2,1,1,2,2,1,1,2,5,4,1,3,5,2,"Educação e inclusão deficiência fisica",2,9,3,3,1,2,10,17,1,1,2,1,1,1,"3","Brasília","71500000",2,3
"pastor","jobs","novice","right","Hector Amaral","black","male",1,2,2,2,2,"R_10OyFjaeAVcJLXy",38,1,9,7,4,4,2,4,3,2,4,2,3,3,2,2,1,2,1,2,1,1,1,4,5,2,3,"",4,12,2,6,7,3,10,17,12,NA,NA,2,NA,8,"1","Goiânia","74673140",2,5
"pastor","jobs","novice","right","Cecilia Machado","white","female",1,3,1,1,2,"R_10vj5ZuUv6A0s4A",40,2,17,2,3,3,2,3,2,1,3,3,3,2,1,1,1,1,1,2,3,2,1,2,3,5,4,"A fome",3,11,0,5,6,2,2,17,1,1,2,1,2,2,"4","Olinda ","53090-435 ",2,5
