StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q2,Q4,Q5,Q6,Q7,Q8_1,Q8_2,Q8_3,Q8_4,Q8_5,Q8_6,Q8_7,Q11,Q12_1,Q12_2,Q12_3,Q14,Q15_1,Q15_2,Q15_3,Q17,Q18_1,Q18_2,Q18_3,Q19_1,Q19_2,Q19_3,Q19_4,Q19_5,Q20_1,Q20_2,Q20_3,Q20_4,Q20_5,Q21,Q24,Q25_1,Q25_2,Q25_3,Q25_4,Q25_5,Q25_6,Q25_7,Q26_1,Q26_2,Q26_3,Q26_4,Q26_5,Q27,Q28,Q29,Q30_1,Q30_2,Q30_3,Q31,Q32,Q33,Q34,Q35_1,Q35_2,Q35_3,Q35_4,Q36,Q37,Q38,Q39,Q40,Q41,Q43,Q46,Q47,Q48,mobile,vignette,race_1,race_2,race_3,sex_1,sex_2,sex_3,prof_1,prof_2,prof_3,slogan_1,slogan_2,slogan_3,vignettetext_1,vignettetext_2,politician_1,politician_2,politician_3,econ_1,econ_2,econ_3,name_1,name_2,name_3,intro,correct,incorrect,ticket,age_bracket
11/24/2021 16:15,11/24/2021 16:23,0,143.255.4.2,100,456,1,11/24/2021 16:23,R_1F56vDfS90HaS0X,,,,,-20.10069275,-45.98649597,anonymous,PT,1,14,1,13,1,3,4,2,2,2,1,4,2,3,2,3,3,4,3,2,4,4,3,2,4,4,3,2,3,1,2,1,2,1,1,2,5,2,4,1,2,4,5,3,4,2,5,1,,2,3,3,5,3,2,1,4,2,,2,,2,2,4,Bambuí,38900000,2,3,2,,,,yes,control,black,white,pardo,female,male,male,professor,captain,captain,jobs2,jobs3,generic3,,,politician,politician,politician,right,left,right,Cecilia Machado,Bernardo Teixeira,Hector Amaral,"Imagine que você mora em uma cidade semelhante a sua no Brasil chamada Rosa Branca. No ano passado, o Tribunal de Contas da União (TCU) passou um pente fino nas contas públicas de prefeituras por todo o país para avaliar como as prefeituras estavam utilizando sua verba para o combate à pandemia do Covid-19.",O prefeito gerenciou o orçamento de maneira honesta,O prefeito estava desviando recursos públicos,56b19d76a662b4f7_d53c57ca5f074bd3_cfc8282d8f0bf020_9a70f9993bf5315022a66e74a014a3ac,2
11/24/2021 16:17,11/24/2021 16:23,0,177.155.83.219,100,371,1,11/24/2021 16:23,R_3Rg4GJmN6opg6hX,,,,,-23.6282959,-46.64089966,anonymous,PT,1,4,2,25,1,3,4,1,1,1,1,2,5,3,2,3,5,5,2,2,5,1,1,1,2,2,1,1,2,2,2,1,3,5,3,1,5,5,5,5,4,5,5,5,2,3,1,4,,3,4,1,7,7,3,2,17,1,2,2,,,11,1,São Paulo,5182150,2,3,2,,,,yes,treatment,white,pardo,black,female,female,male,professor,office,pastor,jobs1,corruption1,generic1,,,politician,politician,politician,left,left,left,Isabella Nunes,Cecilia Machado,Nicolas Duarte,"Imagine que você mora em uma cidade semelhante a sua no Brasil chamada Rosa Branca. No ano passado, o Tribunal de Contas da União (TCU) passou um pente fino nas contas públicas de prefeituras por todo o país para avaliar como as prefeituras estavam utilizando sua verba para o combate à pandemia do Covid-19.",O prefeito estava desviando recursos públicos,O prefeito gerenciou o orçamento de maneira honesta,8709f8486b139c06_d53c57ca5f074bd3_cfc8282d8f0bf020_36651ade7ccb74c0862c82813bb16aed,1
11/24/2021 16:16,11/24/2021 16:25,0,138.219.176.57,100,524,1,11/24/2021 16:25,R_4Pokm99PCOKg9d7,,,,,-7.11920166,-45.23139954,anonymous,PT,1,15,2,10,2,4,3,3,4,4,2,3,2,2,3,2,4,2,2,2,2,2,2,2,4,4,4,4,4,1,1,1,3,4,1,1,2,2,4,2,2,4,4,2,3,1,5,4,Pobreza,3,11,3,3,3,1,2,10,1,1,2,1,1,2,4,LORETO,65895000,2,5,2,,,,yes,control,pardo,black,white,male,female,male,professor,office,pastor,jobs2,generic2,corruption2,,,novice,novice,novice,right,left,right,Hector Amaral,Isabella Nunes,Bernardo Teixeira,"Imagine que você mora em uma cidade semelhante a sua no Brasil chamada Rosa Branca. No ano passado, o Tribunal de Contas da União (TCU) passou um pente fino nas contas públicas de prefeituras por todo o país para avaliar como as prefeituras estavam utilizando sua verba para o combate à pandemia do Covid-19.",O prefeito gerenciou o orçamento de maneira honesta,O prefeito estava desviando recursos públicos,62fdb47bccaaa22f_d53c57ca5f074bd3_cfc8282d8f0bf020_a19da1f9077c518633e6ddf483bf7014,2
11/24/2021 16:15,11/24/2021 16:25,0,177.84.194.55,100,625,1,11/24/2021 16:25,R_3I4gMsSNoCtyhdb,,,,,-6.19720459,-38.19839478,anonymous,PT,1,14,1,20,5,3,3,3,4,5,1,5,4,2,3,3,3,1,3,3,3,1,3,3,1,1,2,3,3,1,1,5,5,2,2,2,5,5,1,1,5,5,5,2,3,5,4,1,,3,4,7,7,1,3,2,3,6,1,,,,2,4,Taboleiro Grande ,59840-000,2,3,2,,,,yes,control,white,white,black,male,female,female,pastor,captain,doctor,corruption2,generic3,jobs2,,,novice,politician,novice,left,left,right,Bernardo Teixeira,Cecilia Machado,Olívia Mendes,"Imagine que você mora em uma cidade semelhante a sua no Brasil chamada Rosa Branca. No ano passado, o Tribunal de Contas da União (TCU) passou um pente fino nas contas públicas de prefeituras por todo o país para avaliar como as prefeituras estavam utilizando sua verba para o combate à pandemia do Covid-19.",O prefeito gerenciou o orçamento de maneira honesta,O prefeito estava desviando recursos públicos,d927b2a64c151f83_d53c57ca5f074bd3_cfc8282d8f0bf020_638b9f82c495a3c87b41f6d3a4d9ffaf,2
11/24/2021 16:15,11/24/2021 16:25,0,177.133.186.122,100,618,1,11/24/2021 16:25,R_2R3Qrua6DBnxsy3,,,,,-23.4118042,-46.43919373,anonymous,PT,1,12,2,25,1,5,5,5,4,4,4,5,4,5,2,2,1,3,3,3,4,4,3,2,2,2,4,1,2,2,1,1,2,2,1,1,5,5,1,2,5,1,5,3,1,5,4,2,Não,3,11,7,1,1,3,3,8,1,,,1,,2,4,Suzano,8673010,2,3,2,,,,yes,control,pardo,black,white,female,female,female,captain,doctor,police,corruption2,generic2,jobs1,,,politician,novice,novice,left,left,left,Cecilia Machado,Isabella Nunes,Olívia Mendes,"Imagine que você mora em uma cidade semelhante a sua no Brasil chamada Rosa Branca. No ano passado, o Tribunal de Contas da União (TCU) passou um pente fino nas contas públicas de prefeituras por todo o país para avaliar como as prefeituras estavam utilizando sua verba para o combate à pandemia do Covid-19.",O prefeito gerenciou o orçamento de maneira honesta,O prefeito estava desviando recursos públicos,29905d95f0851b8b_d53c57ca5f074bd3_cfc8282d8f0bf020_7670ed6cae491efa122187e9648a16fd,2
11/24/2021 16:16,11/24/2021 16:26,0,45.160.28.71,100,611,1,11/24/2021 16:26,R_DcRYOg7Usx7Li5r,,,,,-26.24819946,-53.65399933,anonymous,PT,1,13,2,24,1,4,4,1,1,2,2,2,2,3,2,2,2,3,3,3,2,2,3,3,2,2,1,1,1,1,1,1,1,3,2,1,5,4,3,1,2,1,5,1,3,4,5,2,,1,5,,7,7,1,1,17,12,,,1,,2,1,Dionísio Cerqueira-SC,89950000,1,3,1,,,,yes,treatment,white,pardo,white,male,male,female,police,office,pastor,corruption1,generic2,generic1,,,novice,politician,novice,right,right,right,Nicolas Duarte,Hector Amaral,Cecilia Machado,"Imagine que você mora em uma cidade semelhante a sua no Brasil chamada Rosa Branca. No ano passado, o Tribunal de Contas da União (TCU) passou um pente fino nas contas públicas de prefeituras por todo o país para avaliar como as prefeituras estavam utilizando sua verba para o combate à pandemia do Covid-19.",O prefeito estava desviando recursos públicos,O prefeito gerenciou o orçamento de maneira honesta,363a2b0b4c97d1dd_d53c57ca5f074bd3_cfc8282d8f0bf020_7d42297130e810abed8850698054044c,2
11/24/2021 16:18,11/24/2021 16:27,0,189.122.62.106,100,573,1,11/24/2021 16:27,R_2eRyCzHiYE3hESd,,,,,-22.94850159,-43.34359741,anonymous,PT,1,25,1,19,2,4,4,3,3,2,3,3,5,1,1,1,5,1,1,1,5,3,2,2,4,2,1,1,1,1,1,1,3,1,1,2,4,4,3,2,3,4,5,1,5,3,4,2,,1,11,5,3,7,1,2,4,1,1,2,1,2,2,4,Copacabana ,22051-011 ,2,5,2,,,,yes,control,white,pardo,white,male,female,female,captain,captain,office,generic3,corruption2,generic2,,,novice,novice,novice,left,right,left,Nicolas Duarte,Isabella Nunes,Olívia Mendes,"Imagine que você mora em uma cidade semelhante a sua no Brasil chamada Rosa Branca. No ano passado, o Tribunal de Contas da União (TCU) passou um pente fino nas contas públicas de prefeituras por todo o país para avaliar como as prefeituras estavam utilizando sua verba para o combate à pandemia do Covid-19.",O prefeito gerenciou o orçamento de maneira honesta,O prefeito estava desviando recursos públicos,a64b43817b5ab499_d53c57ca5f074bd3_cfc8282d8f0bf020_9f17f76cfcb4583551c3f982abe3289d,3
11/24/2021 16:17,11/24/2021 16:28,0,187.19.159.73,100,670,1,11/24/2021 16:28,R_2Y5FYrYCrU2d6uW,,,,,-9.649703979,-35.70899963,anonymous,PT,1,10,1,2,1,3,3,1,2,2,2,4,4,3,3,3,4,2,2,2,4,3,2,2,2,2,2,1,2,1,2,1,1,1,1,1,4,3,2,2,3,2,4,5,2,3,4,1,,4,2,4,3,7,1,9,17,12,1,2,2,1,11,1,Rio Largo ,57100000,2,3,1,Proposta inacessível para prefeitura,Muito dificil,,yes,control,black,pardo,white,female,male,female,professor,doctor,professor,corruption1,jobs2,corruption2,,,novice,novice,novice,left,right,right,Olívia Mendes,Hector Amaral,Cecilia Machado,"Imagine que você mora em uma cidade semelhante a sua no Brasil chamada Rosa Branca. No ano passado, o Tribunal de Contas da União (TCU) passou um pente fino nas contas públicas de prefeituras por todo o país para avaliar como as prefeituras estavam utilizando sua verba para o combate à pandemia do Covid-19.",O prefeito gerenciou o orçamento de maneira honesta,O prefeito estava desviando recursos públicos,023952da16d88c24_d53c57ca5f074bd3_cfc8282d8f0bf020_a49d4f3612c32c527c4942d20793cc28,2
11/24/2021 16:17,11/24/2021 16:29,0,189.68.99.140,100,748,1,11/24/2021 16:29,R_31ovF5EsHBuUIb8,,,,,-22.89500427,-47.04389954,anonymous,PT,1,17,2,25,5,4,4,1,1,4,1,4,4,1,1,2,4,1,1,2,4,1,1,3,1,2,3,2,3,1,1,1,2,1,2,1,5,4,4,2,3,4,5,1,3,4,5,2,,4,6,3,1,1,2,11,13,12,,,2,,1,1,Bauru,,2,5,1,,,,yes,control,white,black,white,male,female,female,doctor,doctor,doctor,generic2,generic1,jobs1,,,novice,novice,novice,left,left,left,Bernardo Teixeira,Cecilia Machado,Olívia Mendes,"Imagine que você mora em uma cidade semelhante a sua no Brasil chamada Rosa Branca. No ano passado, o Tribunal de Contas da União (TCU) passou um pente fino nas contas públicas de prefeituras por todo o país para avaliar como as prefeituras estavam utilizando sua verba para o combate à pandemia do Covid-19.",O prefeito gerenciou o orçamento de maneira honesta,O prefeito estava desviando recursos públicos,222b939abab7dff8_d53c57ca5f074bd3_cfc8282d8f0bf020_6347eb4b13c73ff6b01a71b12d9974a1,2
11/24/2021 16:29,11/24/2021 16:30,0,191.37.156.14,100,43,1,11/24/2021 16:30,R_0PSyjgT1pxepBWp,,,,,-2.649505615,-44.30439758,anonymous,PT,2,4,1,10,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,control,black,black,white,female,male,male,captain,doctor,office,generic1,jobs2,generic2,,,politician,politician,politician,right,left,left,Olívia Mendes,Nicolas Duarte,Hector Amaral,"Imagine que você mora em uma cidade semelhante a sua no Brasil chamada Rosa Branca. No ano passado, o Tribunal de Contas da União (TCU) passou um pente fino nas contas públicas de prefeituras por todo o país para avaliar como as prefeituras estavam utilizando sua verba para o combate à pandemia do Covid-19.",O prefeito gerenciou o orçamento de maneira honesta,O prefeito estava desviando recursos públicos,36b5229406f005d4_d53c57ca5f074bd3_cfc8282d8f0bf020_da68f50c50a965166e6bd2ee12c49702,
